0,1,2,3,4,5,6,7,8
SKU,Nombre Producto,Vendidos Periodo,Inventario Periodo,Inventario Periodo Anterior,Rotacion Periodo,Semana Actual,Tienda,Pedido Actual
400M18S03GRESSS,SHIRT CLASSIC GREY S,0,3,3,0.0,13,TRAPENSES,1
501M18S05CREL/XL,CAPS CHILLIN CREAM L/XL,1,,1,No Hay info,13,TRAPENSES,
502M18S01CMOL/XL,BUCKET CAMO CAMO L/XL,2,,2,No Hay info,13,TRAPENSES,
600M18S01CMOMMM,WALKSHORT CAMO CAMO M,1,1,2,1.0,13,TRAPENSES,1
600M18S03GRALLL,WALKSHORT CLASSIC GRAPHITE L,1,1,2,1.0,13,TRAPENSES,1
601M18W01GREXXL,SWEATPANTS KANGOO GREY XXL,1,1,,No Hay info,13,TRAPENSES,
601M18W02BLASSS,SWEATPANTS PATTERN BLACK S,1,2,,No Hay info,13,TRAPENSES,
601M18W02GEESSS,SWEATPANTS PATTERN GREEN S,1,2,,No Hay info,13,TRAPENSES,
700M18S01BLAALL,WALLET CLASSIC BLACK,1,11,12,0.09090909090909091,13,TRAPENSES,1
700M18S06GREALL,SUNGLASS CORD CLASSIC GREY ALL,3,1,4,1.5,13,TRAPENSES,6
700M18S07BLUALL,SUNGLASS CORD CLASSIC BLUE ALL,2,25,27,0.07692307692307693,13,TRAPENSES,2
700M18S08PURALL ,SUNGLASS CORD CLASSIC PURPLE ALL,1,8,9,0.125,13,TRAPENSES,1
700M22S09BROALL,SUNGLASS CORD CLASSIC BROWN ALL,3,16,19,0.17647058823529413,13,TRAPENSES,2
701M18S01BROL/XL,CINTURON MONTAÑA BROWN L/XL,1,1,2,1.0,13,TRAPENSES,1
701M18S01BROS/M,CINTURON MONTAÑA BROWN S/M,1,3,4,0.3333333333333333,13,TRAPENSES,1
704M18S01GEEALL,SOCKS SIMPLE  GREEN ALL,10,3,13,1.25,13,TRAPENSES,18
704M18S01WHIALL,SOCKS SIMPLE  WHITE ALL,6,6,12,0.6666666666666666,13,TRAPENSES,4
704M18S05BROALL,SOCKS LOGO SERIE BROWN ALL,1,1,2,1.0,13,TRAPENSES,1
704M18S05GREALL,SOCKS LOGO SERIE GREY ALL,5,1,6,1.6666666666666667,13,TRAPENSES,15
704M18S07RASALL,ANKLE SOCKS RASTA LINES RASTA ALL,3,1,4,1.5,13,TRAPENSES,6
704M18S08PURALL,BI-PACK 2 PURPLE ALL,1,14,15,0.07142857142857142,13,TRAPENSES,1
